# 01/06/2025 10:33:18 AM: Prices - EPEX Spot Market Auction - germany_luxembourg - Currency: EUR,__parsed_extra
Delivery day,"Hour 1,Hour 2,Hour 3A,Hour 3B,Hour 4,Hour 5,Hour 6,Hour 7,Hour 8,Hour 9,Hour 10,Hour 11,Hour 12,Hour 13,Hour 14,Hour 15,Hour 16,Hour 17,Hour 18,Hour 19,Hour 20,Hour 21,Hour 22,Hour 23,Hour 24,Minimum,Maximum,Middle-Night,Early Morning,Late Morning,Early Afternoon,Rush Hour,Off-Peak 2,Baseload,Peakload,Night,Off-Peak 1,Business,Offpeak,Morning,High Noon,Afternoon,Evening,Sunpeak"
02/06/2025,"81.76,75.31,75,,77.75,83.05,91.93,108.15,117.9,102.36,85.6,57.47,33.21,20,12.78,11,19.75,55.84,82.8,94.95,109.32,195.91,245.37,141.66,110.04,11,245.37,77.46,100.26,69.66,15.88,85.73,173.25,87.04,57.09,80.8,88.86,42.77,116.99,103.5,30.87,42.35,149.54,25.7"
01/06/2025,"92.53,85.22,77.13,,74.09,72.66,66.11,35.84,13,2.4,-0.01,-0.6,-2.11,-5.48,-12.93,-20.41,-15.61,-6,-0.99,19.23,78.85,93.66,106.86,105.93,90.49,-20.41,106.86,82.24,46.9,-0.08,-13.61,22.77,99.24,39.58,3.03,77.96,64.57,-6.84,76.13,12.81,-5.28,-10.75,82.5,-9.52"
31/05/2025,"107,99.94,98.75,,99.07,99.91,98.29,94.79,84.61,55,1,-0.02,-1,-3.07,-13.17,-7.75,-3,-0.05,41.4,88.85,131.41,192.35,192.37,133.49,102.06,-13.17,192.37,101.19,94.4,13.75,-6.75,65.4,155.07,70.51,24.13,100.49,97.8,3.5,116.89,58.85,-4.32,7.65,140.09,-4.67"
30/05/2025,"45.42,25.67,32.99,,33.95,37.39,55.08,69.73,68.38,53.01,29.13,1.83,-0.02,-1.01,-3.1,-3,-1.34,-0.04,5.88,73.52,111.84,136.95,145.89,130.19,108.15,-3.1,145.89,34.51,57.65,20.99,-2.11,47.8,130.3,48.19,22.23,38.42,46.08,9.44,74.15,55.06,-0.58,0.38,117.76,-1.11"
29/05/2025,"99.13,94.8,92.06,,91.55,91.54,91.36,89.46,86.49,82.95,62.83,19.93,1.71,0.03,-1.68,-1.99,-1.98,-1.09,23.13,65.5,80.2,77.17,73.73,76.66,57.5,-1.99,99.13,94.39,89.71,41.86,-1.41,41.94,71.27,56.29,27.46,93.41,92.05,20.23,85.12,80.43,5,4.52,71.79,2.67"
28/05/2025,"76.43,69.01,67.39,,61.01,65.19,72.52,92.85,100.09,95,90,76.48,71.46,65.67,58.03,53.21,42.1,67.28,83.7,94.99,114.83,134.83,139.91,124.29,104.27,42.1,139.91,68.46,82.66,83.24,54.75,90.2,125.83,84.19,76.06,68.59,75.56,68.99,92.32,94.49,67.91,61.57,118.85,61.16"
27/05/2025,"88.51,73.92,62.02,,61.98,67.7,62.2,67.7,73.9,68.63,50.17,4.26,3.19,0.03,0.02,0.09,3.14,55.17,84.55,103,122.64,137.6,111.16,100.34,82.41,0.02,137.6,71.61,67.88,31.56,0.82,91.34,107.88,61.85,41.24,69.39,69.74,16.19,82.45,65.1,1.88,35.74,109.53,1.79"
26/05/2025,"88.13,79.12,73.21,,71.83,76.7,85.48,116.2,143.17,129.91,91.41,16.17,0.05,-0.42,-1.45,-1.18,-0.82,0,17.65,95.76,119.33,169.87,161.57,119.38,98.86,-1.45,169.87,78.07,105.39,59.39,-0.97,58.19,137.42,72.91,38.87,79.08,91.73,29.21,106.96,120.17,3.59,3.91,127.46,2.06"
25/05/2025,"23.82,22.9,14.39,,8.38,3.9,2.11,1.17,1.21,0.03,0,-0.61,-0.6,-0.25,-3.19,-5.05,-4.95,-1.37,0,11.72,92.95,100,107.41,102.23,92.92,-5.05,107.41,17.37,2.1,-0.3,-3.36,25.83,100.64,23.71,7.39,12.58,9.74,-1.83,40.04,0.6,-1.16,-2.84,84.54,-2.44"
24/05/2025,"98.99,94.76,88.74,,84.22,82.93,80.71,82.07,76.9,62.09,12.26,-0.01,-0.11,-0.15,-0.19,-0.39,-1.77,-0.39,48.67,85.34,109.08,111,107.92,92.06,79.67,-1.77,111,91.68,80.65,18.56,-0.63,60.68,97.66,58.1,26.2,88.39,86.17,8.97,90,58.33,-0.12,11.53,97.51,-0.44"
23/05/2025,"101.1,93.16,87.12,,86.56,93.08,106.82,128.49,132.8,114.67,85.9,70,54.05,13.44,0.62,0,0,25.33,71.91,97.6,114.36,130.47,139.29,126.93,108,0,139.29,91.99,115.3,81.16,3.52,77.3,126.17,82.57,53.99,94.64,103.64,42.34,111.15,115.47,34.53,24.31,119.44,23.02"
22/05/2025,"98.54,88.28,83.65,,81.5,83.34,90,107.67,106.01,98.16,54.54,1.66,0.01,-1.91,-12.77,-15.4,-10.9,-2.99,-0.01,50,106.84,115,127.25,117.48,103.23,-15.4,127.25,87.99,96.76,38.59,-10.25,38.46,115.74,61.22,22.27,87.55,92.37,14.17,100.16,91.6,-3.25,-7.33,103.3,-6.55"
21/05/2025,"107.93,102.33,97.9,,94.9,93.7,102.49,112.48,116.54,107.82,84.82,42.22,0.15,-0.1,-2.2,-1.53,-0.01,2.06,49.08,86.32,100.1,114.35,110.27,100.72,90,-2.2,116.54,100.77,106.3,58.75,-0.96,59.39,103.84,71.35,39.06,99.88,103.53,28.9,103.63,105.42,10.02,12.4,100.29,6.42"
20/05/2025,"114.95,106.03,102.5,,104.04,109.14,118.96,143.21,130.81,100,85.2,61.58,15.95,0.17,0.01,0.09,7.61,67.87,97.15,111.79,141.23,192.25,148.97,120,107.93,0.01,192.25,106.88,125.53,65.68,1.97,104.51,142.29,91.14,57.39,109.27,116.21,33.83,124.9,114.81,19.43,43.18,137.03,14.24"
19/05/2025,"110.48,102.62,96.1,,92.95,98.03,109.39,131.22,137.22,113.41,93.69,69.59,28.56,12.77,5,8,28.15,72.98,97.09,114.49,148.45,229.11,154.86,126.81,111.88,5,229.11,100.54,118.97,76.31,13.48,108.25,155.67,95.54,66.02,101.6,109.75,44.9,125.06,118.89,28.98,51.56,147.6,25.35"
18/05/2025,"106.73,101.49,98.57,,97.4,98.41,97.98,91.3,87.16,67.86,10.1,0,-0.2,-2,-7.37,-15,-8.97,-0.2,9.67,91.38,108.4,125.17,130.47,118.41,103.62,-15,130.47,101.05,93.71,19.44,-8.34,52.31,119.42,62.93,21.14,100.1,97.38,5.55,104.73,64.11,-2.39,-3.63,112.91,-5.59"
17/05/2025,"93,93.48,88.93,,88.9,89.89,93.46,91.56,89.85,59.11,0.86,-0.06,-4.49,-4.96,-10.02,-11.27,-5.8,-0.8,5.01,78.77,99.64,121.38,130.21,129.9,111.6,-11.27,130.21,91.08,91.19,13.86,-8.01,45.66,123.27,59.51,17.17,91.28,91.13,2.92,101.85,60.35,-4.88,-3.22,111.92,-6.1"
16/05/2025,"94.5,88.47,84.91,,85,88.76,98.26,113.18,117.6,106.66,78.99,11.11,-0.01,-3.15,-1.97,-1.55,-0.01,2.98,69.79,100.05,111.81,154.91,143.23,116.08,102.08,-3.15,154.91,88.22,104.45,49.19,-1.67,71.16,129.08,73.4,39.56,89.98,96.34,23.76,107.25,104.11,1.5,17.8,121.36,0.74"
